KMeans_Labels,DBSCAN_Labels
0,0
0,0
0,0
0,0
0,-1
0,1
2,-1
2,5
2,-1
2,-1
2,-1
2,-1
2,2
2,-1
2,-1
2,-1
2,-1
2,2
2,2
2,-1
2,2
2,3
2,4
2,3
2,5
2,6
2,7
2,-1
2,8
2,-1
2,9
2,8
2,-1
2,10
2,2
2,2
0,11
2,5
2,12
2,-1
2,13
2,-1
2,-1
2,2
2,5
2,12
2,18
2,-1
2,14
2,10
2,-1
2,2
2,5
2,12
2,-1
2,15
2,2
2,16
2,-1
2,-1
2,5
2,12
2,-1
2,-1
2,16
2,-1
2,14
2,2
2,5
2,12
2,-1
2,15
2,16
2,-1
2,-1
2,14
2,2
2,5
2,12
2,-1
2,-1
2,-1
2,-1
2,17
2,2
0,-1
2,5
2,12
2,2
2,18
2,-1
2,6
2,6
2,-1
2,14
2,-1
2,5
2,12
2,18
2,2
2,2
2,-1
2,4
2,8
2,-1
2,14
2,5
2,-1
2,12
2,-1
2,2
2,-1
2,10
2,8
2,5
2,7
2,18
2,-1
2,-1
2,19
2,-1
2,5
2,-1
2,7
2,9
2,-1
2,2
2,10
2,5
2,18
2,7
2,9
2,-1
2,2
2,-1
2,5
2,18
2,7
2,14
2,-1
2,-1
2,2
2,-1
2,5
2,18
2,6
2,7
2,14
2,16
2,-1
2,-1
2,14
2,2
2,5
2,-1
2,7
2,6
2,16
2,-1
2,6
2,-1
2,5
2,2
2,18
2,12
2,-1
2,-1
2,-1
2,-1
2,-1
2,2
2,7
2,-1
2,2
2,5
2,10
2,-1
2,-1
2,12
2,19
2,6
2,3
2,5
2,18
2,-1
2,-1
2,7
2,2
2,-1
2,-1
0,-1
2,-1
2,18
2,-1
2,-1
2,7
2,-1
2,-1
0,20
2,2
2,-1
2,-1
0,21
2,-1
2,-1
2,18
2,14
2,2
2,-1
2,2
2,22
2,2
0,-1
2,-1
2,8
2,6
2,18
2,-1
0,23
0,1
0,1
0,1
2,-1
2,22
2,-1
2,2
2,-1
2,18
2,13
2,-1
2,6
2,22
2,-1
2,2
2,-1
2,-1
2,-1
2,22
2,-1
2,2
2,-1
2,14
2,14
2,-1
2,-1
2,22
2,14
2,-1
2,-1
2,6
2,6
2,-1
2,-1
2,24
2,22
2,6
2,-1
2,-1
2,2
2,-1
2,22
2,14
2,-1
1,25
1,25
0,26
2,27
0,26
1,25
0,26
1,25
0,26
1,-1
2,27
1,25
0,-1
1,25
1,25
1,25
1,25
0,26
0,26
0,26
1,25
0,-1
1,25
1,25
1,-1
2,-1
1,-1
1,28
1,25
0,-1
0,26
2,27
1,25
0,26
0,26
2,27
0,26
1,25
2,27
0,26
0,26
1,25
0,26
1,25
